en,ta
naturalistic observation,இயற்கைசார் அவதானிப்பு
magnitude,மகத்துவம்
treating,நடத்துகை
diplomatic privilege,இராச தந்திரச் சிறப்புரிமை
registry,பதிவகம்
permanent court of international justice,நிரந்தர சர்வதேச சமாதான நீதிமன்றம்
communication imbalance,தொடர்பாடல் சமமின்மை
educational backwardness,கல்விசார் பின்னடைவு
policy output,கொள்கை வெளிப்பாடு
spoliatus ante omnia retituendus et,பறித்துக்கொண்ட உடைமையை முதலில் மீள ஒப்படைத்தல் வேண்டும்
proxy paper,பதிலாள் பத்திரம்
officers not entitled for political rights,அரசியலுரிமை பெறா உத்தியோகத்தர்கள்
indemnity,முன் காப்பீடு
successive approximation,அடுத்தடுத்த அண்ணளவாக்கம்
unreasonable attitude,நியாயமற்ற எண்ணம்
legally innocent,சட்டப்படி குற்றமற்ற
medium of interpretation,வியாக்கியானத்தின் ஊடகம்
knowledge management,அறிவு முகாமைத்துவம்
contravention,மீறுகை
divulge,பரகசியப்படுத்து
charge memo,குற்றச்சாட்டுக் குறிப்பாணை
socialization,சமூகமயவாக்கம்
territorial property,ஆள்புலச் சொத்து
final examination,இறுதிப் பரீட்சை
tacit emancipation,உட்கிடை ஒத்திசைவு
elimination,நீக்கல்
instrumental,கருவிசார்
caption,படவிளக்கம்
assumed name,மேற்கொண்ட பெயர்
emotional activity,மனவெழுச்சிச்செயற்பாடு
recover damages,நட்டங்களை அறவிடுதல்
telecast,ஒலிபரப்பு
uncashed cheques,காசாக்கப்படாத காசோலைகள்
land mark,காணிஅடையாளக்குறி
choreographer,நடன அமைப்பாளர்
beneficiary,நலன் பெறுநர்
visual path,காட்சி பாதை
basic courses,அடிப்படைக் கற்கைநெறிகள்
department of public finance of the treasury,திறைசேரியின் பொதுநிதித் திணைக்களம்
cartographer,நிலவரைபட வரைஞர்
centrifugal function of mass communication,வெகுசனத் தொடர்பாடலின் மையவிலக்குச் செயற்பாடு
self-instructive,சுய அறிவுறுத்தல்
executant,றிறைவேற்றுநர்
general of parliament,பாராளுமன்ற பொதுச் செயலாளர்
localism in education,கல்வியில் உள்ளூர்மயமாக்கம்
double aspect theory,இரட்டைப் பார்வைக் கொள்கை
petty jury,சிறு நடுவர் குழாம்
semiology,குறியீட்டியல்
charge  (crime) (v),குற்றஞ்சாட்டு
not amounting to murder,கொலையாகாத
alibi,தலத்திலா வாதம்
cramming,நெட்டுருச்செய்தல்
regional college,பிராந்தியக் கல்லூரி
wilful misconduct,வேண்டு
mycology,பூசணவியல்
testamentary expenses,மரணசாதனச் செலவு
deferred payment,பிற்போடப்பட்டக் கொடுப்பனவு
stop-gap casual appointment,இடை நிரப்பு அமைய நியமனம்
limited facilities,வரையறுக்கப்பட்ட வசதிகள்
kin terms,இன முறைகள்
archaeological,தொல்பொருளியல்சார்
event journalism,சம்பவ பத்திரிகைத்தொழில்
supervisor and control,மேற்பார்வை மற்றும் நிருவகித்தல்
half pay leave,அரை கொடுப்பனவு லீவு
specify,குறித்துரை
repression,அடக்கல்
blood relationship,இரத்த உறவு
puisne judge,இளைய நீதிபதி
manipulation in experiments,பரிசோதனைகளில் கையாள்கை
admission,ஒப்புதல்
insertion,உள்ளடக்கல்
answerable,பொறுப்புக்கூறவேண்டிய
lace work,நூற் பின்னல் வேலை
notice of assesment,மதிப்பீட்டு அறிவித்தல்
integrated  marketing communication,ஒருங்கிணைக்கப்பட்ட சந்தைப்படுத்தல் தொடர்பாடல்
religious education,சமயக்கல்வி
mass audience evolution,வெகுசன நேயர் பரிணாமம்
chairperson,தலைவர்
purchases and distribution accounts,கொள்வனவு-விநியோகித்தல் கணக்கு
unitary Constitution,ஒற்றையாட்சி அரசியலமைப்பு
road and channel trace surveys,வீதி மற்றும் வாய்க்கால் தொடர்பில் சுவடு வரைதல் அளவைகள்
body of deed,உறுதியாவணத்தின் உடற்பகுதியில்
oppose (v),எதிர்த்து நில்
auto competition,தற்போட்டி
trusteeship,நம்பிக்கை பொறுப்பாண்மை
entrenched sections,நிலையூன்றிய பிரிவுகள்
cost utility analysis,செலவு பயனீட்டுப் பகுப்பாய்வு
patent,ஆக்கவுரிமை
mass methods,பெருவழிமுறைகள்
unanimous,ஏகோபித்த
charterer,வாடகைக்கமர்த்துபவர்
travelling expenses,பிரயாணச் செலவுகள்
man power,மனித சக்தி
emancipate,கட்டறு
violence,வன்முறை
politician,அரசியல்வாதி
specialized network,தனிச்சிறப்பான வலையமைப்பு
optimism,நன்னம்பிக்கைவாதம்
living standard,வாழ்க்கைநியமம்
spatium deliberandi,ஆய்வுக் காலம்
uniform,ஒருசீரான
technological literacy,தொழில்நுட்பக் கல்வியறிவு
travelling inspector,பயணப் பரிசோதகர்
quantitative relative,அளவையியல் சார்பு
hybrid,இனக் கலப்பு
collective responsibility,கூட்டுப்பொறுப்பு
deflection,முனை மடங்கியுள்ள நிலை
accumulated vacation leave,திரண்ட விடுமுறை லீவு
miscegenation,இனக் கலப்பு
news diffusion,செய்தி விரவல்
normal rate,வழமையான வீதம்
title insures,உறுதிக் காப்புறுதி
average,சராசரி
actual cost,உள்ளமையான செலவுதொகை (கிரயம்)
invigilator,பரீட்சைக் கண்காணிப்பாளர்
vessel,கலம்
elitism,உயர்ந்தோர் குழாம்வாதம்
unintegrated,ஒருங்கிணைக்கப்படா
election officer,தேர்தல் அலுவலர்
dramatization,நாடகவாக்கம்
education services,கல்விச் சேவைகள்
stratified random sample,அடுக்கமைவு எழுமாற்று மாதிரி
lobbyist,ஆதரவு தேடுபவர்
aggregate value,கூட்டுமொத்தப் பெறுமதி
irrigational systems,நீர்ப்பாசன முறைமைகள்
long term,நீண்டகால
accomplishment quotient,முடிப்பு ஈவு
replication,பதிலிறுத்தல்
consonance,ஒத்தியைபு
evolution,பரிணாமம்
money payment,காசுக் கொடுப்பனவு
psychographics,உளநிலைவரைவியல்
confidential,அந்தரங்கமான
abstracts for posting up,பதிவதற்கான சுருக்கங்கள்
promotion,வகுப்பேற்றம்
assesment,மதிப்பீடு
resulting number,விளையும் எண்
rote learning,நெட்டுருக் கற்றல்
specific performance of marriage,திருமணத்தை குறித்தபடி நிறைவேற்றல்
logonomic system,முகவாசக  முறைமை
extension,காலநீடிப்பு
white paper,வெள்ளை அறிக்கை
universality,வியாபகம்
perception,புலனறிவு
mode of travel,பிரயாண மார்க்கம்
affidavit,உறுதிமொழிப் பத்திரம்
misdemeanour,புன்பழி
explanatory,விளக்கும்
signified,குறித்துக்காட்டு
cultural hybridity,கலாசார இன கலப்பு வழித்தோன்றல்
avoidance of doubt,ஐயத் தவிர்ப்பு
anachronism,காலவழு
rigid  constitution,கட்டுறுதியான அரசியல் அமைப்பு
statutory retrictions,நியதிச்சட்ட வரையறை
interaction effects of selection,தெரிவில் இடைவினைத் தாக்கம்
link,இணை
conversational currency,சமூக உரையாடல் விடயம்
antenna,உணர்கொம்பு
institute,நிறுவகம்
stay of proceedings,வழக்குச் செயற்பாட்டை நிறுத்துதல்
rational being,பகுத்தறிவுள்ள பிராணி
able,ஆற்றலுள்ள
ornamental improvements,அலங்காரச் சீர்த்திருத்தம்
additional entry,மேலதிகப் பதிவு
administrative elite,ஆட்சிமுறைசார்ந்த உயர்ந்தோர் குழாம்
transformation of text,பாட நூல் மாற்றம்
aims and objectives,இலட்சியங்களும் குறிக்கோள்களும்
roll-call,வருகைப்பதிவு
ambiversion,இருமுகநோக்கு
official business,உத்தியோகபூர்வமான பணி
renewal,புதுப்பித்தல்
journalism training,பத்திரிகைத்தொழில் பயிற்சி
commercial espionage,வணிக ஒற்றர் சேவை
duress,வலுக்கட்டாயம்
conception,கருத்து
gazette notification which include the settlement notice,நிர்ணயிக்கும் அறிவித்தல் உள்ளடக்கிய வர்த்தமானி
education amendment ordinance,கல்வித் திருத்தியமைத்தற் கட்டளைச் சட்டம்
proof theory,பார்வை படி கோட்பாடு
protest,எதிர்ப்பு
black listing,தவறான ஆவணப்படுத்துகை (கருப்புப் பட்டியலுக்குட்படுத்தல்)
insurance fund,காப்புறுதி நிதியம்
electronic communications technologies,மின்னியல் தொடர்பாடல் தொழில்நுட்பங்கள்
punch card,துளையட்டை
entrance examination,புகுமுகத் தேர்வு
nonsignificant (a),குறிப்படும்படி இல்லாத
city improvement trust,மாநகர மேம்பாட்டுப் பொறுப்பாட்சிக் குழுமம்
incidental,இடைநேர் விளைவுடைய
annulment by custom,வழமைமூலம் வலுவொழித்தல்
public  arts,பொதுசன கலைகள்
interdiction,பணித்தடை
catharsis hypothesis,அகத்தூய்மைப்பேற்று முன்மொழிவு
reliability,நம்பத்தக்க தன்மை
suspense,மர்மம்
chief justice,பிரதம நீதியரசர்
fantasy,கற்பனைத் தோற்றம்
obscenity and pornography,ஆபாசமும் ஆபாசப்படங்களும்
unprivileged,சிறப்புரிமையளிக்கப்படா
cash journal,பண நடவடிக்கைக் குறிப்பேடு
widowhood,கைம்மை
inertia,சடத்துவம்
full ownership,காணியின் பூரண உரிமை
commemorate,நினைவுவிழா கொண்டாடு
decode,குறிவிலக்கு
dissemination of culture,கலாசாரத்தைப் பரப்புதல்
impetus,தூண்டுகை
circuit cash book,சுற்றுப் பயணக் காசேடு
sincerity,நேர்மை
futuristic,எதிர்கால நோக்குடைமை
demarcation,எல்லை குறித்தல்
power of disciplinary control,ஒழுக்காற்று கட்டுப்பாட்டு அதிகாரம்
continuity and discontinuity,தொடர்ச்சியும் தொடர்ச்சியின்மையும்
material,பொருண்நிலை
death by violence,வன்முறை மரணம்
half-pay leave,அரைச் சம்பள விடுமுறை
labour productivity,தொழில் உற்பத்தித் திறன்
diplomatic agent,இராச தந்திர முகவர்
incentive payment,ஊக்குவிப்புக் கொடுப்பனவு
aggregate sentences,கூட்டுமொத்தத் தண்டனைத்தீர்ப்புகள்
patricide,பிதாக்கொலை
change of station,நிலைய இடமாறுகை
representative,பிரிதிநிதி
void contract,வெறிதான ஒப்பந்தம்
mileage,மைற்கூலி
global metropolis,பூகோள பெருநகர்
financial provision,நிதி ஏற்பாடு
dead language,வழக்கொழிந்த மொழி
unseaworthy,கடற்செலவுக்கொவ்வாத
terra nova,புதிதாக அறுவடை செய்யப்பட்ட காணி
minor employee,சிற்றூழியர்
legal liability,சட்டப் பொறுப்பு
property in the goods,பண்டத்தின் சொத்துவம்
access,அணுகல்
interconnectedness,பரஸ்பர தொடர்பு
right of freedom of expression,பேச்சு சுதந்திரத்தின் உரிமை
viability,வாழ்திறன்
bad debt fund,கடன் இழப்பு நிதி
inter-cultural communication,கலாசாரங்களுக்கிடையிலான தொடர்பாடல்
roman jurisprudence,உரோம சட்டவியல்
learning by doing,செயல்முறையால் கற்றல்
prediction,எதிர்வுகூறல்
convergent communication,பல்தரப்பட்ட ஊடகத் தொடர்பாடல்
proctor of the supreme court,உயர்நீதிமன்ற வழக்கறிஞர்
sign,குறி
practicable,செயல்முறைக்குகந்த
clandestinely,கள்ளமாக
jumbled summary,குழம்பிய பொழிப்பு
audience apathy,நேயர் உணர்ச்சியின்மை
perceptual,புலனறிவுசார்
system county,மாகாண
structure,கட்டமைப்பு
cadre,ஆளணி
term of prescription,குறித்த காலவிதிப்பு
quota sampling,பங்கு மாதிரியெடுப்பு
active participation,சுறுசுறுப்பான பங்குபற்றல்
affirmative evidence,உடன்படு
white collar workers,உடை நலுங்கா தொழிலாளர்கள்
deduction,உய்த்தறிவு
respectively,முறையே
vexatious defence,அலைக்கும் எதிர்காப்பு
best evidence,மிகச்சிறந்த சான்று
hypothetical,அநுமானிக்கப்பட்ட
headline,தலைப்பு
target,இலக்கு
urbran,நகர்புற
prostitution,பரத்தமை
suzerainty,மேலாதிக்க உரிமை
documents,ஆவணங்கள்
competence,தேர்ச்சி
withdrawal of inheritance,மரபுரிமையை வாபஸ் பெறக்கோரல்
drill,பன்முறைப்பயிற்சி
computer catalogue,கணினி விபரநிரல்
academic dishonesty,கல்விக்குரிய நேர்மையின்மை
academic issue,கல்விசார் பிரச்சினை
signature tune,அடையாள ராகம்
national character,தேசிய பண்பு
delegate,பிரதிநிதி
professional actor,வாழ்க்கைத் தொழில் நடிகர்
true owner,உண்மை உரிமையாளர்
current news,நடப்புச் செய்தி
field camera,கள கமெரா
remit,தணி
unregisterd decree,பதிவுசெய்யப்படாத தீர்ப்பு வெளியீடு
laminated,மெல்லிய மேல் பூச்சிலான
vocational ambition,தொழில் இலட்சியம்
meteorology,வானிலையியல்
tangible,உருப்படியான
temporary residence permit,தற்காலிக வதிவு அனுமதுப்பத்திரம்
discretionary,தன்னிச்சையுள்ள
attitude,மனப்பாங்கு
good news,நல்ல செய்தி
imaginative behaviour,கற்பித நடத்தை
sociological approach,சமூகவியல் அணுகுமுறை
secrecy,இரகசியம்
attendance officer,வரவு பதிவு உத்தியோகத்தர்
legal principle,சட்டக் கோட்பாடு
control system,கட்டுப்பாட்டு ஒழுங்குமுறை
stock broker,பங்குத் தொகுதி தரகர்
titular honour,கௌரவப் பெயர்
metropolis,தலைநகர்
uncertificated teacher,சான்றிதழ் பெறாத ஆசிரியர்
blunt,கூரற்ற
estimated residual value,மதிப்பிடப்பட்ட மீதமுள்ள மதிப்பு
body-mind,உடலுளம்
immortal (a),இறவாத
trover,தற்பொருள்மீட்பு
elevation,ஏற்றம்
language barrier,மொழி தடை
communication channel,தொடர்பாடல் அலைவரிசை
standardised articles,தரப்படுத்தப்பட்ட பொருட்கள்
speed test,வேக சோதனை
patriot,தேசாபிமானி
educable (a),கல்விபயிற்றக்கூடிய
enfeoff,மானியமளி
co-ordinate,கூட்டிணை
specialized audience stage,தனிச்சிறப்பான நேயர் மேடை
labour reserve school,தொழிலாளர் ஒதுக்குப் பள்ளி
malicious injury to property,தீயநோக்குடன் சொத்துக்களுக்கு சேதமேற்படுத்தல்
acquiesce,இணங்கு
extension of period of validity,செல்லுபடியாகும் கால எல்லை நீடிப்பு
malicious institution of criminal proceedings,தீயநோக்குடன் குற்றவியல் வழக்குத் தொடர்தல்
screening,திரையிடுதல்
visible sign,உருவழி இலட்சினை
goal organization,அடையிலக்கு அமைப்பு
emotional security,மனவெழுச்சிப் பாதுகாப்பு
accession,ஒன்றிணைவு
motor nerve,இயக்க நரம்பு
terminus,முடிவிடம்
public service,அரச சேவை
characterizing,பண்பு விரித்துரைத்தல்
libertarian theory,தாராண்மைக் கோட்பாடு
projects,கருத்திட்டங்கள்
unqualified declaration,வரைபாடற்ற பிரகடனம்
at par,முகமதிப்பில்
business-to-business advertising,வியாபாரத்திலிருந்து வியாபாரத்திற்கான விளம்பரஞ்செய்தல்
data bank,தரவு வங்கி
ecclesiastical authorities,திருச்சபை அதிகாரங்கள்
cutting room,வெட்டல் அறை
hypnotism,மனோவசியப்படுத்தல்
UNESCO,யுனெஸ்கோ
derequisition,தேவைக்கெடுத்தமை துறத்தல்
forgery,கள்ள ஒப்பமிடல்
methodological indifference,ஆராய்ச்சிமுறைசார்ந்த உதாசீனப்படுத்தல்
notified,அறிவிப்பு செய்த
si sine libers decesserit,பிள்ளைகளின்றி மரணித்தால்
correlation coefficient,இணைபுக் குணகம்
electronic renaissance,மின்னியல் மறுமலர்ச்சி
audience profile,நேயர் புறவரை
media law,ஊடகச் சட்டம்
pignoris capio,அடைவுப்பொருள் கையேற்றல்
ex dividend,பங்குலாபந் தவிர்ந்த
indisposition,அசௌக்கியம்
price level,விலைவாசி நிலை
summary,சாராம்சம்
retiring allowances,இளைப்பாற்றுப் படிகள்
parliamentary journalism,பாராளுமன்ற பத்திரிகைத்தொழில்
editorialization,ஆசிரிய பீட பதிப்பித்தல்
potentiality,இயல்திறன்
investigative method,நுண்ணாய்வு முறை
desolate,தனிமைப்படுத்து
news-perishable commodity,செய்தி-அழிந்துபோகிற பண்டம்
co-operation,கூட்டுறவு
salvation through communication,தொடர்பாடல் ஊடாக விமோசனம்
testamentary,மரணசாதனமான
journalism of attachment,இணைப்பு பத்திரிகைத்தொழில்
ridicule,ஏளனம் செய்தல்
pessimistic,அவநம்பிக்கையுள்ள
illiteracy,எழுத்தறிவின்மை
national assessment of education progress,கல்வி முன்னேற்றத்திற்கான தேசிய கணிப்பீடு
creative education,ஆக்கப்பூர்வக் கல்வி
democratic centralism,சனநாயக மையவாதம்
decimal,பதின்மம்
restrictive provision,வரையறுக்கும் ஏற்பாடு
biological process,உயிரியற் செயன்முறை
contamination,மாசுறல்
secondary school,இடைநிலைப் பாடசாலை
collective psychology,கூட்டு உளவியல்
pedestrian,பாதசாரி
sender,அனுப்புபவர்
institutionalization,நிறுவனமயமாக்கல்
plagiarism,வித்தியாசோரம்
eccentric (a),விசித்திரப்போக்குடைய
beneficiaries,நலன் பெறுவோர்
sea policy,கடற் காப்புறுதிப்பூட்கை
codification,தொகுப்பு
transference,இடமாற்றுகை
medium long shot,இடைநிலை நீள் எடுப்பு
cost of change of stations,அலுலகநிலைய மாற்றத்திற்கான செலவுகள்
high art,உயர் கலை
account payee,பெறுவோன் கணக்குக்கு
summary of distribution,பகிர்ந்தளிக்கும் சுறுக்கக் குறிப்பு
cost price,கொள்விலை
values,பெறுமதிகள்
public television,பொதுசன தொலைக்காட்சி
campaign,இயக்கம்
man of straw,பயனற்றவன்
delayed broadcast,தாமதிக்கப்பட்ட ஒலிபரப்பு
proceeding,வழக்குநடவடிக்கை
blind,குருடான
non profit organization,இலாபமீட்டாத நிறுவனம்
minor (a),சிறிய
complication,குழப்பம்
inductive thinking,விதிவருவித்தல் சிந்தனை
total audience listing output,முழுமையான நேயர் பட்டியலிடல்  வெளியீடு
rough layout,செப்பமற்ற வடிவமைப்பு
express revocation,வெளிப்படை நீக்கம்
uniformity,ஒரு சீர்மை
presiding judge,தலைமை நீதிபதி
social role,சமூக வகிபாகம்
crown,முடி
probability,சம்பாவியம்
cases of grave urgency,கடும் நெருக்கடியான சந்தர்ப்பங்கள்
life time,வாழ்க்கைக் காலம்
cultural studies,கலாசாரக் கற்கைகள்
accuracy,துல்லியம்
demonstration lesson,செய்துகாட்டல் பாடம்
traverse,மறுத்துரை
target date,இலக்குத் திகதி
temporal or spiritual injury,லௌகீக அல்லது ஆன்மீக துன்புருத்தல்கள்
owelty,ஒப்பாக்கம்
volunteer reserve,மனமொப்பிய ஆயுதப்படை​ உ​பசேவை
surety,பிணைகாரர்
tribe,குலம்
financial analysis,நிதிப்பகுப்பாய்வு
achieved status,எய்தப்பெற்ற தகுநிலை
embargo,தடுப்பாணை
ego instinct,தன்முனைப்புடை இயல்பூக்கம்
cluster chain,கொத்தணி வலைப்பிணைப்பு
patents ordinance,ஆக்கவுரிமை உரிமக் கட்டளைகள் சட்டம்
registerd debentures,பதிவுசெய்யப்பட்ட தொகுதிக்கடன்
massacre,படுகொலை
evaluate,மதிப்புக்கணி
unauthorized occupation,சட்டவிரோதமான குடியமர்வு
new communication strategy,புதிய தொடர்பாடல் உத்தி
existentialist orientation in journalism,பத்திரிகைத்தொழிலில் வாழ்வியல்வாத முகப்பாடு
formal approach,முறைசார் அணுகுமுறை
voluntary,தொண்டர்
design,அமைப்பு
declaration,வெளிப்படுத்துகை
speech,பேச்சு
indulgent (a),தயையுள்ள
media  planning,ஊடகத் திட்டமிடல்
review,மதிப்புரை
realization,உணர்தல்
valid suretyship,செல்லுபடியான பிணையகம்
part-owner,பகுதிச் சொந்தக்காரர்
sensational news,பரபரப்பான செய்தி
sub-head,உப தலைப்பு
provisional account,தற்காலிகக் கணக்கு
wager,பணயம்
wandering gang,அலையும் கும்பல்
diversion,திசைதிரும்பல்
speed,வேகம்
city zone,நகர வலயம்
personal factor,தனிப்பட்டக் காரணி
cancellation,ஒழித்தல்
certified financial statement,சான்றிடப்பட்ட நிதி அறிக்கை
deliver,ஒப்படை
charitable object,அறக் குறிக்கோள்ஃநோக்கம்
classroom control,வகுப்பறைக் கட்டுப்பாடு
sampling,மாதிரிப்படுத்தல்
admission of claim,உரிமைக் கோரிக்கை ஏற்பு
concubinage,வைப்பாடல்
machinery,எந்திரத்தொகுதி
re-entry,மீள் நுழைவு
successful tenderers,தெரிவான கேள்விக்காரர்கள்
appoint,நியமி
press spokesperson,பத்திரிகை பேச்சாளர்
letter of recommendation,சிபாரிசுக் கடிதம்
aggrieved person,இன்னலுற்ற ஆள்
places where notices to be published,அறிவித்தல்களை பகிரங்கப்படுத்தவேண்டிய இடங்கள்
unlawful obtruction,சட்டரீதியற்ற தடை
media market,ஊடகச் சந்தை
co-equal,கூட்டொத்த
learning events,கற்றல் நிகழ்ச்சிகள்
survivorship,எச்சவுரிமை
eternal,நித்திய
salary incremental value,வேதன ஏற்றப் பெறுமதி
tyrrany,வன்முறையாட்சி
pedagogue,ஆசான்
substitute,மாற்று நிலையினர்
newsman,செய்தியாளர்
unfit person,தகுதியற்றவர்
categorical (a),ஆணித்தரமான
programme of activity,செயற்பாட்டுக்கான நிகழ்ச்சித் திட்டம்
excussion,கடன் காரணமாக விற்பனை செய்தல்
spiritual courts,சமய நீதிமன்றங்கள்
special sick leave,விசேட லீவு
attensity,உன்னிப்பாய்க்கவனித்தல்
antecedent,முன்நிகழ்ச்சி
technical instructions,தொழில்நுட்ப ஆலோசனை
purpose of education,கல்வி நோக்கம்
ex debito justitiae,நெறிமுறையினால்
economic factor,பொருளாதாரக் காரணி
superimposition,மேற்பொறிப்பு
intimation slip,செய்திஅறிவிப்புச் சீட்டு
certificate of incorporation,கூட்டுத்தாபணச் சான்றிதழ்
allopsychosis,காட்சிக் குறைபாட்டால் எழும் உளவாதை
